time,user_id,user_name,content,grade,fans_club
21:04:38,3712397299157015,昍翀🦁🐾,老黑，我儿子16等你两年，你出多少陪嫁[懵][懵][懵],[等级6],[粉丝团 Lv5]
21:04:38,96565447462,时宜,要不就是电瓶被偷了[捂脸][捂脸],[等级30],[粉丝团:张君雅 Lv15]
21:04:42,55159220102,BWRZ（记录美好）,[小鼓掌][偷笑][小鼓掌][偷笑][小鼓掌][偷笑],[等级36],[粉丝团 Lv16]
21:04:45,3488118696324872,家有沐宝,认出来了,[等级7],[粉丝团 Lv9]
21:04:46,4389705835090323,偷狗被打断三条腿,延迟这么高的吗？,[等级3],
21:04:46,69473598101,冬宝,大米呢,[等级27],[粉丝团 Lv6]
21:04:47,3057107088970859,失约的花海,怎么不和四七和运营大师一起打呀,[等级24],
21:04:47,59197600987,冬玥,呀,[等级13],[粉丝团 Lv10]
21:04:48,75956341032,唯一,去吃猪蹄,[等级16],[粉丝团 Lv10]
21:04:50,2906732322103703,虾霸天,全蛋，最近怎么没去喂鱼,[等级26],[粉丝团 Lv6]
21:04:50,66404075690,羑羑🦄,@英儿 你是不是开陀螺仪了？,[等级10],[粉丝团 Lv2]
21:04:53,55159220102,BWRZ（记录美好）,然后肚子酷酷冒[看],[等级36],[粉丝团 Lv16]
21:04:57,2274247923467549,知遇👣,@昍翀🦁🐾 倒贴都不要,[等级24],[粉丝团 Lv10]
21:04:58,59197600987,冬玥,雅雅～,[等级13],[粉丝团 Lv10]
21:05:05,241487546953213,英儿,@羑羑🦄 没有开,[等级17],[粉丝团 Lv8]
21:05:09,2405371378410126,你好😁,下馆子能拉三天[捂脸],[等级25],[粉丝团 Lv10]
21:05:12,77416951506,ら孤痞,@偷狗被打断三条腿 一分钟,[等级36],[粉丝团:张君雅 Lv17]
21:05:16,68722723945,玛卡巴卡。,@英儿 关掉陀螺仪,[等级14],[粉丝团 Lv5]
21:05:18,82240872765,依然执着承诺,@英儿 是镜头灵敏度高了,[等级19],[粉丝团 Lv10]
21:05:19,3864126221458571,三两,1080,[等级16],[粉丝团 Lv6]
21:05:20,59197600987,冬玥,嘿嘿嘿,[等级13],[粉丝团 Lv10]
21:05:30,51247047770,史努比,哎,[等级19],[粉丝团 Lv5]
21:05:30,93260984183,可爱多Cici ɷ💋,最近几天咋老开播了在关注里看不到[捂脸]，只能搜，之前都是在关注直播前几的,[等级15],[粉丝团 Lv8]
21:05:30,24853013412,。,抽奖选的齐天大圣,[等级13],
21:05:32,111153300136,社会主义接班人,猿粪啊,[等级2],[粉丝团 Lv2]
21:05:35,91609062591,久久💞ــــﮩﮩ٨,@ら孤痞 痞总！放假没？,[等级35],[粉丝团 Lv15]
21:05:40,96565447462,时宜,哎,[等级30],[粉丝团:张君雅 Lv15]
21:05:40,4862013350589,厉扑,车都不开了，进服务区看直播[看],[等级21],[粉丝团 Lv11]
21:05:46,241487546953213,英儿,@依然执着承诺 可以关注我告诉我怎么调吗,[等级17],[粉丝团 Lv8]
21:05:47,3922670199767847,莫问,[捂脸][捂脸][捂脸][捂脸][捂脸],[等级14],[粉丝团 Lv12]
21:05:50,75810040117,🍅,咋没有画面,[等级14],
21:05:51,479040158833726,浮生,什么虎狼之词[捂脸],[等级10],[粉丝团 Lv2]
21:05:52,1490539482987975,一？？一,哥救我[捂脸],[等级7],[粉丝团 Lv8]
21:05:55,103358665061,@初心伴风雨,[捂脸][捂脸][捂脸][捂脸],[等级32],
21:05:55,24853013412,。,抽奖选齐天大圣,[等级13],
21:05:58,67003428351,@M,给人打了鸟[捂脸][捂脸],[等级17],[粉丝团 Lv11]
21:05:58,59011956650,ღ᭄不念过往ꦿ࿐,[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙],[等级20],[粉丝团 Lv11]
